ID,Name,Equipment,BodyPart,Target,Synergist,URL
0001,3/4 Sit-up,Body weight,Waist,Rectus Abdominis,Obliques
0002,45 degree Side Bend,Body weight,Waist,Obliques,Iliopsoas
0003,Air bike,Body weight,Waist,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis"
0004,Air Twisting Crunch,Body weight,Waist,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis"
0005,Alternate Biceps Curl (with band),Band,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis"
0006,Alternate Heel Touchers,Body weight,Waist,Obliques,
0007,Alternate Lateral Pulldown,Cable,Back,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
0008,Alternate Lying Floor Leg Raise,Body weight,Waist,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae"
0009,Assisted Chest Dip (kneeling),Leverage machine,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Teres Major, Triceps Brachii"
0010,Assisted Hanging Knee Raise With Throw Down,Assisted,Waist,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Sartorius, Tensor Fasciae Latae"
0011,Assisted Hanging Knee Raise,Assisted,Waist,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Sartorius, Tensor Fasciae Latae"
0012,Assisted Lying Leg Raise With Lateral Throw Down,Assisted,Waist,"Obliques, Rectus Abdominis","Adductor Brevis, Adductor Longus, Sartorius, Tensor Fasciae Latae"
0013,Assisted Lying Leg Raise With Throw Down,Assisted,Waist,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Obliques, Pectineous, Sartorius, Tensor Fasciae Latae"
0014,Assisted Motion Russian Twist,Medicine Ball,Waist,Obliques,Rectus Abdominis
0015,Assisted Parallel Close Grip Pull-up,Leverage machine,Back,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Levator Scapulae, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers"
0016,Assisted Prone Hamstring,Assisted,Thighs,Hamstrings,
0017,Assisted Pull-up,Leverage machine,Back,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers"
0018,Assisted Standing Triceps Extension (with towel),Assisted,Upper Arms,Triceps Brachii,
0019,Assisted Triceps Dip (kneeling),Leverage machine,Upper Arms,Triceps Brachii,"Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major"
0020,Balance Board,Body weight,Calves,"Adductor Longus, Adductor Magnus, Gastrocnemius, Gluteus Maximus, Quadriceps, Soleus",
0021,Ball Sit-up (on stability ball),Stability ball,Waist,Rectus Abdominis,"Iliopsoas, Obliques, Quadriceps, Sartorius, Tensor Fasciae Latae"
0022,Barbell Pullover To Press,Barbell,Back,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Trapezius Middle Fibers, Trapezius Upper Fibers"
0023,Barbell Alternate Biceps Curl,Barbell,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis"
0024,Barbell Bench Front Squat,Barbell,Thighs,Quadriceps,"Adductor Magnus, Soleus"
0025,Barbell Bench Press,Barbell,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0026,Barbell Bench Squat,Barbell,Hips,Quadriceps,"Adductor Magnus, Soleus"
0027,Barbell Bent Over Row,Barbell,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior"
0028,Barbell Clean and Press,Barbell,Shoulders,,
0029,Barbell Clean-grip Front Squat,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0030,Barbell Close-Grip Bench Press,Barbell,Upper Arms,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
0031,Barbell Curl,Barbell,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis"
0032,Barbell Deadlift,Barbell,Hips,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus"
0033,Barbell Decline Bench Press,Barbell,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0034,Barbell Decline Bent Arm Pullover,Barbell,Back,Latissimus Dorsi,"Levator Scapulae, Pectoralis Major Sternal Head, Triceps Brachii"
0035,Barbell Decline Close Grip To Skull Press,Barbell,Upper Arms,Triceps Brachii,
0036,Barbell Decline Wide-grip Press,Barbell,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0037,Barbell Decline wide-grip pullover,Barbell,Back,Latissimus Dorsi,"Deltoid Posterior, Levator Scapulae, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii"
0038,Barbell Drag Curl,Barbell,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Posterior"
0039,Barbell Front Chest Squat,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0040,Barbell Front Raise and Pullover,Barbell,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Deltoid Lateral, Latissimus Dorsi, Serratus Anterior, Teres Major, Triceps Brachii"
0041,Barbell Front Raise,Barbell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
0042,Barbell Front Squat,Barbell,Hips,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0043,Barbell Full Squat,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0044,Barbell Good Morning,Barbell,Thighs,Hamstrings,"Adductor Magnus, Gluteus Maximus"
0045,Barbell Guillotine Bench Press,Barbell,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0046,Barbell Hack Squat,Barbell,Hips,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0047,Barbell Incline Bench Press,Barbell,Chest,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
0048,Barbell Incline Reverse-grip Press,Barbell,Upper Arms,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head"
0049,Barbell Incline Row,Barbell,Back,"Infraspinatus, Latissimus Dorsi, Teres Minor , Tibialis Anterior, Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Pectoralis Major Sternal Head"
0050,Barbell Incline Shoulder Raise,Barbell,Chest,Serratus Anterior,Pectoralis Major Clavicular Head
0051,Barbell Jefferson Squat,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0052,Barbell JM Bench Press,Barbell,Upper Arms,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Sternal Head"
0053,Barbell Jump Squat,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Gastrocnemius, Soleus"
0054,Barbell Lunge,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0055,Barbell Lying Close-grip Press,Barbell,Upper Arms,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Sternal Head"
0056,Barbell Lying Close-grip Triceps Extension,Barbell,Upper Arms,Triceps Brachii,
0057,Barbell Lying extension,Barbell,Upper Arms,Triceps Brachii,
0058,Barbell Lying Lifting (on hip),Barbell,Hips,Gluteus Maximus,"Gastrocnemius, Sartorius, Soleus"
0059,Barbell Lying Preacher Curl,Barbell,Upper Arms,Brachialis,"Biceps Brachii, Brachioradialis"
0060,Barbell Lying Triceps Extension Skull Crusher,Barbell,Upper Arms,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
0061,Barbell Lying Triceps Extension,Barbell,Upper Arms,Triceps Brachii,
0062,Barbell Narrow Row,Barbell,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior"
0063,Barbell Narrow Stance Squat,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0064,Barbell One Arm Bent over Row,Barbell,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
0065,Barbell One Arm Floor Press,Barbell,Upper Arms,Triceps Brachii,Deltoid Posterior
0066,Barbell One Arm Side Deadlift,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0067,Barbell One Arm Snatch,Barbell,Shoulders,,
0068,Barbell One Leg Squat,Barbell,Thighs,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus"
0069,Barbell Overhead Squat,Barbell,Thighs,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus"
0070,Barbell Preacher Curl,Barbell,Upper Arms,Brachialis,"Biceps Brachii, Brachioradialis"
0071,Barbell Press Sit-Up,Barbell,Waist,"Deltoid Anterior, Iliopsoas, Pectoralis Major Clavicular Head, Rectus Abdominis","Deltoid Lateral, Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae, Triceps Brachii"
0072,Barbell Prone Incline Curl,Barbell,Upper Arms,Brachialis,"Biceps Brachii, Brachioradialis"
0073,Barbell Pullover,Barbell,Back,Latissimus Dorsi,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii"
0074,Barbell Rack Pull,Barbell,Hips,"Erector Spinae, Gluteus Maximus","Adductor Magnus, Hamstrings, Quadriceps, Soleus"
0075,Barbell Rear Delt Raise,Barbell,Shoulders,Deltoid Posterior ,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Lateral, Levator Scapulae, Trapezius Upper Fibers, Wrist Flexors"
0076,Barbell Rear Delt Row,Barbell,Shoulders,Deltoid Posterior ,"Brachialis, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0077,Barbell Rear Lunge (version 2),Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0078,Barbell Rear Lunge,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0079,Barbell Revers Wrist Curl (version 2),Barbell,Forearms,Wrist Extensors,
0080,Barbell Reverse Curl,Barbell,Forearms,Brachioradialis,"Biceps Brachii, Brachialis"
0081,Barbell Reverse Preacher Curl,Barbell,Forearms,Brachioradialis,"Biceps Brachii, Brachialis"
0082,Barbell Reverse Wrist Curl,Barbell,Forearms,Wrist Extensors,
0083,Barbell Rollout from Bench,Barbell,Waist,"Iliopsoas, Rectus Abdominis","Deltoid Posterior, Latissimus Dorsi, Pectoralis Major Sternal Head, Tensor Fasciae Latae, Teres Major"
0084,Barbell Rollout,Barbell,Hips,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Deltoid Posterior, Pectineous, Pectoralis Major Sternal Head, Sartorius, Tensor Fasciae Latae, Teres Major"
0085,Barbell Romanian Deadlift,Barbell,Hips,"Erector Spinae, Gluteus Maximus","Adductor Magnus, Hamstrings, Quadriceps, Soleus"
0086,Barbell Seated Behind Head Military Press,Barbell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
0087,Barbell Seated Bradford Rocky Press,Barbell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
0088,Barbell Seated Calf Raise,Barbell,Calves,Gastrocnemius,Soleus
0089,Barbell Seated Close-grip Concentration Curl,Barbell,Upper Arms,Brachialis,"Biceps Brachii, Brachioradialis"
0090,Barbell Seated Good morning,Barbell,Hips,Gluteus Maximus,Hamstrings
0091,Barbell Seated Overhead Press,Barbell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
0092,Barbell Seated Overhead Triceps Extension,Barbell,Upper Arms,Triceps Brachii,
0093,Barbell Seated Twist (on stability ball),Barbell,Waist,Obliques,Iliopsoas
0094,Barbell Seated Twist,Barbell,Waist,Obliques,Iliopsoas
0095,Barbell Shrug,Barbell,Back,Trapezius Upper Fibers ,"Levator Scapulae, Trapezius Middle Fibers"
0096,Barbell Side Bent (version 2),Barbell,Waist,Obliques,Iliopsoas
0097,Barbell Side Split Squat (version 2),Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0098,Barbell Side Split Squat,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Longus, Adductor Magnus, Soleus"
0099,Barbell Single Leg Split Squat,Barbell,Hips,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0100,Barbell Skier,Barbell,Shoulders,Deltoid Posterior ,"Deltoid Lateral, Teres Major"
0101,Barbell Speed Squat,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0102,Barbell Squat (on knees),Barbell,Thighs,Quadriceps,"Adductor Magnus, Hamstrings"
0103,Barbell Standing AB rollout,Barbell,Waist,"Iliopsoas, Rectus Abdominis","Deltoid Posterior, Levator Scapulae, Teres Major"
0104,Barbell Standing Back Wrist Curl,Barbell,Forearms,Wrist Flexors,
0105,Barbell Standing Bradford Press,Barbell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
0106,Barbell Standing Close Grip Curl,Barbell,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis"
0107,Barbell Standing Front Raise Over Head,Barbell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii"
0108,Barbell Standing Leg Calf Raise,Barbell,Calves,Gastrocnemius,Soleus
0109,Barbell Standing Overhead Triceps Extension,Barbell,Upper Arms,Triceps Brachii,
0110,Barbell Standing Reverse Grip Curl,Barbell,Forearms,Brachioradialis,"Biceps Brachii, Brachialis"
0111,Barbell Standing Rocking Leg Calf Raise,Barbell,Calves,"Gastrocnemius, Tibialis Anterior",Soleus
0112,Barbell Standing Twist,Barbell,Waist,Obliques,Iliopsoas
0113,Barbell Standing Wide-grip Curl,Barbell,Upper Arms,"Biceps Brachii, Brachialis",Brachioradialis
0114,Barbell Step-up,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0115,Barbell Stiff Leg Good Morning,Barbell,Thighs,"Erector Spinae, Gluteus Maximus, Hamstrings",Adductor Magnus
0116,Barbell Straight Leg Deadlift,Barbell,Thighs,"Erector Spinae, Hamstrings","Adductor Magnus, Gluteus Maximus"
0117,Barbell Sumo Deadlift,Barbell,Hips,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus, Tensor Fasciae Latae"
0118,Barbell Reverse Grip Bent over Row,Barbell,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
0119,Barbell Upright Row (version 2),Barbell,Shoulders,Deltoid Lateral,"Deltoid Anterior, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0120,Barbell Upright Row,Barbell,Shoulders,Deltoid Lateral,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0121,Barbell Upright Row (version 3),Barbell,Shoulders,Deltoid Lateral,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0122,Barbell Wide Bench Press,Barbell,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
0123,Barbell Wide-grip Upright Row,Barbell,Shoulders,Deltoid Lateral,"Brachialis, Brachioradialis, Deltoid Anterior, Infraspinatus, Serratus Anterior, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0124,Barbell Wide Squat,Barbell,Thighs,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus"
0125,Barbell Wrist Curl (version 2),Barbell,Forearms,Wrist Flexors,
0126,Barbell Wrist Curl,Barbell,Forearms,Wrist Flexors,
0127,Barbell Zercher Squat,Barbell,Hips,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0128,Battling Ropes,Rope,Shoulders,Deltoid Posterior ,"Brachialis, Brachioradialis, Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0129,Bench Dip (knees bent),Body weight,Upper Arms,Triceps Brachii,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Sternal Head"
0130,Bench Hip Extension,Body weight,Hips,Gluteus Maximus,Hamstrings
0131,Bent-knee Lying Twist (On Stability Ball),Stability ball,Waist,Obliques,
0132,Bent-knee Lying Twist,Body weight,Waist,Obliques,
0133,Bent-Knee Side Plank,Body weight,Waist,Obliques,
0134,Bent Side Knee Push-up,Body weight,Hips,"Gluteus Medius, Pectoralis Major Sternal Head","Deltoid Anterior, Pectoralis Major Clavicular Head, Quadriceps, Tensor Fasciae Latae, Triceps Brachii"
0135,Bird Dog,Body weight,Waist,Erector Spinae,"Deltoid Anterior, Gluteus Maximus"
0136,Boat Stretch,Body weight,Waist,Rectus Abdominis,Quadriceps
0137,Body-Up,Body weight,Shoulders,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head"
0138,Bottoms-Up,Body weight,Waist,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Obliques, Pectineous, Sartorius, Tensor Fasciae Latae"
0139,Brachialis Narrow Pull-ups,Body weight,Upper Arms,Brachioradialis,"Biceps Brachii, Brachialis"
0140,Brachialis Pull-up,Body weight,Forearms,"Brachialis, Brachioradialis","Biceps Brachii, Levator Scapulae, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
0141,Bridge - Mountain Climber (Cross Body) (female),Body weight,Waist,Obliques,"Adductor Brevis, Adductor Longus, Deltoid Anterior, Iliopsoas, Pectineous, Quadriceps, Rectus Abdominis, Tensor Fasciae Latae"
0142,Bridge (on knees),Body weight,Waist,Rectus Abdominis,"Obliques, Quadriceps, Serratus Anterior, Tensor Fasciae Latae"
0143,Bridge (straight arm),Body weight,Waist,Rectus Abdominis,"Deltoid Anterior, Obliques, Quadriceps, Serratus Anterior, Tensor Fasciae Latae"
0144,Bridge Hip Abduction,Body weight,Hips,"Gluteus Medius, Tensor Fasciae Latae",
0145,Butt Bridge,Body weight,Waist,"Iliopsoas, Pectineous, Rectus Abdominis","Obliques, Quadriceps"
0146,Butt Kicks,Body weight,Thighs,,
0147,Bycicle Twisting Crunch,Body weight,Waist,"Obliques, Rectus Abdominis","Gluteus Maximus, Iliopsoas, Quadriceps"
0148,Cable Alternate Shoulder Press,Cable,Shoulders,Deltoid Anterior,"Deltoid Lateral, Triceps Brachii"
0149,Cable Alternate Triceps Extension,Cable,Upper Arms,Triceps Brachii,
0150,Cable Bar Lateral Pulldown,Cable,Back,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0151,Cable Bench Press,Cable,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii"
0152,Cable Concentration Extension (on knee),Cable,Upper Arms,Triceps Brachii,
0153,Cable Cross-over Lateral Pulldown,Cable,Back,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0154,Cable Cross-over Revers Fly,Cable,Shoulders,Deltoid Posterior ,"Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
0155,Cable Cross-over Variation,Cable,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",Deltoid Anterior
0156,Cable Curl,Cable,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis"
0157,Cable Deadlift,Cable,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
0158,Cable Decline Fly,Cable,Chest,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
0159,Cable Decline Seated Wide-grip Row,Cable,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior"
0160,Cable Floor Seated Wide-grip Row,Cable,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior"
