ID,Name,Equipment,BodyPart,Target,Synergist,URL
0001,3/4 Sit-up,Body weight,Waist,Rectus Abdominis,Obliques,https://www.gymvisual.com/illustrations/8-34-sit-up.html
0002,45 degree Side Bend,Body weight,Waist,Obliques,Iliopsoas,https://www.gymvisual.com/illustrations/20-45-side-bend.html
0003,Air bike,Body weight,Waist,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis",https://www.gymvisual.com/illustrations/21-air-bike.html
0004,Air Twisting Crunch,Body weight,Waist,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis",https://www.gymvisual.com/illustrations/22-air-twisting-crunch.html
0005,Alternate Biceps Curl (with band),Band,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis",https://www.gymvisual.com/illustrations/23-alternate-biceps-curl-with-band.html
0006,Alternate Heel Touchers,Body weight,Waist,Obliques,,https://www.gymvisual.com/illustrations/24-alternate-heel-touchers.html
0007,Alternate Lateral Pulldown,Cable,Back,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/25-alternate-lateral-pulldown.html
0008,Alternate Lying Floor Leg Raise,Body weight,Waist,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/26-alternate-lying-floor-leg-raise.html
0009,Assisted Chest Dip (kneeling),Leverage machine,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Teres Major, Triceps Brachii",https://www.gymvisual.com/illustrations/27-assisted-chest-dip-kneeling.html
0010,Assisted Hanging Knee Raise With Throw Down,Assisted,Waist,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/28-assisted-hanging-knee-raise-with-throw-down.html
0011,Assisted Hanging Knee Raise,Assisted,Waist,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/29-assisted-hanging-knee-raise.html
0012,Assisted Lying Leg Raise With Lateral Throw Down,Assisted,Waist,"Obliques, Rectus Abdominis","Adductor Brevis, Adductor Longus, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/30-assisted-lying-leg-raise-with-lateral-throw-down.html
