ID,Name,Equipment,BodyPart,Target,Synergist,URL,Img
0001,3/4 Sit-up,Body weight,Waist,Rectus Abdominis,Obliques,https://www.gymvisual.com/illustrations/8-34-sit-up.html,https://www.gymvisual.com/33-large_default/34-sit-up.jpg
0002,45 degree Side Bend,Body weight,Waist,Obliques,Iliopsoas,https://www.gymvisual.com/illustrations/20-45-side-bend.html,https://www.gymvisual.com/36-large_default/45-side-bend.jpg
0003,Air bike,Body weight,Waist,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis",https://www.gymvisual.com/illustrations/21-air-bike.html,https://www.gymvisual.com/8815-large_default/air-bike.jpg
0004,Air Twisting Crunch,Body weight,Waist,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis",https://www.gymvisual.com/illustrations/22-air-twisting-crunch.html,https://www.gymvisual.com/42-large_default/air-twisting-crunch.jpg
0005,Alternate Biceps Curl (with band),Band,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis",https://www.gymvisual.com/illustrations/23-alternate-biceps-curl-with-band.html,https://www.gymvisual.com/45-large_default/alternate-biceps-curl-with-band.jpg
0006,Alternate Heel Touchers,Body weight,Waist,Obliques,,https://www.gymvisual.com/illustrations/24-alternate-heel-touchers.html,https://www.gymvisual.com/14344-large_default/alternate-heel-touchers.jpg
0007,Alternate Lateral Pulldown,Cable,Back,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/25-alternate-lateral-pulldown.html,https://www.gymvisual.com/51-large_default/alternate-lateral-pulldown.jpg
0008,Alternate Lying Floor Leg Raise,Body weight,Waist,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/26-alternate-lying-floor-leg-raise.html,https://www.gymvisual.com/54-large_default/alternate-lying-floor-leg-raise.jpg
0009,Assisted Chest Dip (kneeling),Leverage machine,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Teres Major, Triceps Brachii",https://www.gymvisual.com/illustrations/27-assisted-chest-dip-kneeling.html,https://www.gymvisual.com/57-large_default/assisted-chest-dip-kneeling.jpg
0010,Assisted Hanging Knee Raise With Throw Down,Assisted,Waist,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/28-assisted-hanging-knee-raise-with-throw-down.html,https://www.gymvisual.com/60-large_default/assisted-hanging-knee-raise-with-throw-down.jpg
0011,Assisted Hanging Knee Raise,Assisted,Waist,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/29-assisted-hanging-knee-raise.html,https://www.gymvisual.com/63-large_default/assisted-hanging-knee-raise.jpg
0012,Assisted Lying Leg Raise With Lateral Throw Down,Assisted,Waist,"Obliques, Rectus Abdominis","Adductor Brevis, Adductor Longus, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/30-assisted-lying-leg-raise-with-lateral-throw-down.html,https://www.gymvisual.com/14171-large_default/assisted-lying-leg-raise-with-lateral-throw-down.jpg
0013,Assisted Lying Leg Raise With Throw Down,Assisted,Waist,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Obliques, Pectineous, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/31-assisted-lying-leg-raise-with-throw-down.html,https://www.gymvisual.com/69-large_default/assisted-lying-leg-raise-with-throw-down.jpg
0014,Assisted Motion Russian Twist,Medicine Ball,Waist,Obliques,Rectus Abdominis,https://www.gymvisual.com/illustrations/32-assisted-motion-russian-twist.html,https://www.gymvisual.com/72-large_default/assisted-motion-russian-twist.jpg
0015,Assisted Parallel Close Grip Pull-up,Leverage machine,Back,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Levator Scapulae, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers",https://www.gymvisual.com/illustrations/33-assisted-parallel-close-grip-pull-up.html,https://www.gymvisual.com/75-large_default/assisted-parallel-close-grip-pull-up.jpg
0016,Assisted Prone Hamstring,Assisted,Thighs,Hamstrings,,https://www.gymvisual.com/illustrations/34-assisted-prone-hamstring.html,https://www.gymvisual.com/78-large_default/assisted-prone-hamstring.jpg
0017,Assisted Pull-up,Leverage machine,Back,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers",https://www.gymvisual.com/illustrations/35-assisted-pull-up.html,https://www.gymvisual.com/81-large_default/assisted-pull-up.jpg
0018,Assisted Standing Triceps Extension (with towel),Assisted,Upper Arms,Triceps Brachii,,https://www.gymvisual.com/illustrations/36-assisted-standing-triceps-extension-with-towel.html,https://www.gymvisual.com/84-large_default/assisted-standing-triceps-extension-with-towel.jpg
0019,Assisted Triceps Dip (kneeling),Leverage machine,Upper Arms,Triceps Brachii,"Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major",https://www.gymvisual.com/illustrations/37-assisted-triceps-dip-kneeling.html,https://www.gymvisual.com/87-large_default/assisted-triceps-dip-kneeling.jpg
0020,Balance Board,Body weight,Calves,"Adductor Longus, Adductor Magnus, Gastrocnemius, Gluteus Maximus, Quadriceps, Soleus",,https://www.gymvisual.com/illustrations/38-balance-board.html,https://www.gymvisual.com/90-large_default/balance-board.jpg
0021,Ball Sit-up (on stability ball),Stability ball,Waist,Rectus Abdominis,"Iliopsoas, Obliques, Quadriceps, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/39-ball-sit-up-on-stability-ball.html,https://www.gymvisual.com/2571-large_default/ball-sit-up-on-stability-ball.jpg
0022,Barbell Pullover To Press,Barbell,Back,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Trapezius Middle Fibers, Trapezius Upper Fibers",https://www.gymvisual.com/illustrations/40-barbell-pullover-to-press.html,https://www.gymvisual.com/96-large_default/barbell-pullover-to-press.jpg
0023,Barbell Alternate Biceps Curl,Barbell,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis",https://www.gymvisual.com/illustrations/41-barbell-alternate-biceps-curl.html,https://www.gymvisual.com/99-large_default/barbell-alternate-biceps-curl.jpg
0024,Barbell Bench Front Squat,Barbell,Thighs,Quadriceps,"Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/42-barbell-bench-front-squat.html,https://www.gymvisual.com/102-large_default/barbell-bench-front-squat.jpg
0025,Barbell Bench Press,Barbell,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://www.gymvisual.com/illustrations/43-barbell-bench-press.html,https://www.gymvisual.com/105-large_default/barbell-bench-press.jpg
0026,Barbell Bench Squat,Barbell,Hips,Quadriceps,"Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/44-barbell-bench-squat.html,https://www.gymvisual.com/108-large_default/barbell-bench-squat.jpg
0027,Barbell Bent Over Row,Barbell,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior",https://www.gymvisual.com/illustrations/45-barbell-bent-over-row.html,https://www.gymvisual.com/10573-large_default/barbell-bent-over-row.jpg
0028,Barbell Clean and Press,Barbell,Shoulders,,,https://www.gymvisual.com/illustrations/46-barbell-clean-and-press.html,https://www.gymvisual.com/114-large_default/barbell-clean-and-press.jpg
0029,Barbell Clean-grip Front Squat,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/47-barbell-clean-grip-front-squat.html,https://www.gymvisual.com/116-large_default/barbell-clean-grip-front-squat.jpg
0030,Barbell Close-Grip Bench Press,Barbell,Upper Arms,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",https://www.gymvisual.com/illustrations/48-barbell-close-grip-bench-press.html,https://www.gymvisual.com/10058-large_default/barbell-close-grip-bench-press.jpg
0031,Barbell Curl,Barbell,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis",https://www.gymvisual.com/illustrations/49-barbell-curl.html,https://www.gymvisual.com/122-large_default/barbell-curl.jpg
0032,Barbell Deadlift,Barbell,Hips,Gluteus Maximus,"Adductor Magnus, Erector Spinae, Hamstrings, Quadriceps, Soleus",https://www.gymvisual.com/illustrations/50-barbell-deadlift.html,https://www.gymvisual.com/10440-large_default/barbell-deadlift.jpg
0033,Barbell Decline Bench Press,Barbell,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://www.gymvisual.com/illustrations/51-barbell-decline-bench-press.html,https://www.gymvisual.com/128-large_default/barbell-decline-bench-press.jpg
0034,Barbell Decline Bent Arm Pullover,Barbell,Back,Latissimus Dorsi,"Levator Scapulae, Pectoralis Major Sternal Head, Triceps Brachii",https://www.gymvisual.com/illustrations/52-barbell-decline-bent-arm-pullover.html,https://www.gymvisual.com/131-large_default/barbell-decline-bent-arm-pullover.jpg
0035,Barbell Decline Close Grip To Skull Press,Barbell,Upper Arms,Triceps Brachii,,https://www.gymvisual.com/illustrations/53-barbell-decline-close-grip-to-skull-press.html,https://www.gymvisual.com/134-large_default/barbell-decline-close-grip-to-skull-press.jpg
0036,Barbell Decline Wide-grip Press,Barbell,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://www.gymvisual.com/illustrations/54-barbell-decline-wide-grip-press.html,https://www.gymvisual.com/137-large_default/barbell-decline-wide-grip-press.jpg
0037,Barbell Decline wide-grip pullover,Barbell,Back,Latissimus Dorsi,"Deltoid Posterior, Levator Scapulae, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii",https://www.gymvisual.com/illustrations/55-barbell-decline-wide-grip-pullover.html,https://www.gymvisual.com/140-large_default/barbell-decline-wide-grip-pullover.jpg
0038,Barbell Drag Curl,Barbell,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis, Deltoid Anterior, Deltoid Posterior",https://www.gymvisual.com/illustrations/56-barbell-drag-curl.html,https://www.gymvisual.com/143-large_default/barbell-drag-curl.jpg
0039,Barbell Front Chest Squat,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/57-barbell-front-chest-squat.html,https://www.gymvisual.com/146-large_default/barbell-front-chest-squat.jpg
0040,Barbell Front Raise and Pullover,Barbell,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Deltoid Lateral, Latissimus Dorsi, Serratus Anterior, Teres Major, Triceps Brachii",https://www.gymvisual.com/illustrations/58-barbell-front-raise-and-pullover.html,https://www.gymvisual.com/149-large_default/barbell-front-raise-and-pullover.jpg
0041,Barbell Front Raise,Barbell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",https://www.gymvisual.com/illustrations/59-barbell-front-raise.html,https://www.gymvisual.com/152-large_default/barbell-front-raise.jpg
0042,Barbell Front Squat,Barbell,Hips,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/60-barbell-front-squat.html,https://www.gymvisual.com/10574-large_default/barbell-front-squat.jpg
0043,Barbell Full Squat,Barbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/61-barbell-full-squat.html,https://www.gymvisual.com/158-large_default/barbell-full-squat.jpg
0044,Barbell Good Morning,Barbell,Thighs,Hamstrings,"Adductor Magnus, Gluteus Maximus",https://www.gymvisual.com/illustrations/62-barbell-good-morning.html,https://www.gymvisual.com/15629-large_default/barbell-good-morning.jpg
0045,Barbell Guillotine Bench Press,Barbell,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://www.gymvisual.com/illustrations/63-barbell-guillotine-bench-press.html,https://www.gymvisual.com/164-large_default/barbell-guillotine-bench-press.jpg
0046,Barbell Hack Squat,Barbell,Hips,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/64-barbell-hack-squat.html,https://www.gymvisual.com/167-large_default/barbell-hack-squat.jpg
0047,Barbell Incline Bench Press,Barbell,Chest,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/65-barbell-incline-bench-press.html,https://www.gymvisual.com/4379-large_default/barbell-incline-bench-press.jpg
0048,Barbell Incline Reverse-grip Press,Barbell,Upper Arms,Triceps Brachii,"Deltoid Anterior, Pectoralis Major Clavicular Head",https://www.gymvisual.com/illustrations/66-barbell-incline-reverse-grip-press.html,https://www.gymvisual.com/173-large_default/barbell-incline-reverse-grip-press.jpg
